                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.9315,                 4.9232,                 2.1761,                0.03772,                 0.0008,                0.01922,                0.00879,                 2.5234,                 4.0793,                 1.7968,               0.070652,              0.0032609,              0.0032609
                      1,                 2.3258,                 4.0012,                 1.6754,                0.07408,                0.03888,                0.01885,                0.01035,                 2.2496,                    inf,                 1.7731,               0.040652,              0.0065942,              0.0065942
                      2,                 2.2602,                  3.371,                 1.6022,                0.07981,                0.05557,                0.04665,                0.02457,                 2.2535,                 4.1856,                 1.6612,               0.010652,              0.0099275,              0.0099275
                      3,                 2.2545,                 3.3282,                 1.6075,                0.01117,                0.00129,                0.00597,                0.00282,                 2.5154,                 3.8677,                  2.011,              0.0099998,              0.0099998,              0.0099998
                      4,                 2.0658,                 4.9015,                 1.5109,                 0.0963,                0.09127,                0.04046,                0.02184,                 2.0152,                 4.9541,                 1.5398,              0.0099998,              0.0099998,              0.0099998
                      5,                 2.0804,                 3.8659,                 1.4825,                0.02302,                0.01064,                0.01194,                0.00682,                  2.018,                 3.9598,                 1.4929,              0.0099997,              0.0099997,              0.0099997
                      6,                  2.054,                 3.2788,                 1.4322,                0.04397,                 0.0092,                0.02496,                0.01484,                 1.8837,                 3.0963,                  1.423,              0.0099996,              0.0099996,              0.0099996
                      7,                 2.0294,                  3.178,                 1.4423,                0.04836,                0.04797,                0.03397,                0.01856,                 2.0969,                 4.0423,                 1.5809,              0.0099994,              0.0099994,              0.0099994
                      8,                 1.9686,                 2.9733,                 1.4455,                0.12492,                0.04197,                0.07369,                0.04267,                 2.2755,                 3.0924,                  1.753,              0.0099992,              0.0099992,              0.0099992
                      9,                  2.138,                  3.168,                 1.5089,                0.05154,                0.01099,                 0.0304,                0.01906,                 1.9289,                 2.8349,                 1.5147,              0.0099989,              0.0099989,              0.0099989
                     10,                 2.0906,                  3.182,                 1.4744,                0.23442,                0.03176,                 0.1305,                0.09152,                 2.0198,                 2.6581,                 1.5111,              0.0099986,              0.0099986,              0.0099986
                     11,                 1.9981,                 2.8383,                 1.4883,                0.17354,                0.02546,                0.09924,                0.06166,                 1.8966,                 2.6775,                  1.425,              0.0099983,              0.0099983,              0.0099983
                     12,                 2.0133,                 2.7283,                 1.5095,                0.16368,                0.01871,                0.08887,                0.04636,                 2.0578,                   2.65,                 1.5648,              0.0099979,              0.0099979,              0.0099979
                     13,                 1.9846,                 2.6598,                  1.409,                0.34699,                0.04835,                0.19676,                0.12868,                 1.8371,                  2.377,                 1.4121,              0.0099975,              0.0099975,              0.0099975
                     14,                 1.8974,                 2.5416,                 1.4174,                0.19746,                0.09065,                0.14339,                0.08651,                 1.9303,                 2.5293,                 1.4853,              0.0099971,              0.0099971,              0.0099971
                     15,                 1.9497,                 2.4828,                 1.3827,                0.32527,                0.09588,                0.21295,                0.12275,                 1.9485,                 2.2501,                 1.4446,              0.0099966,              0.0099966,              0.0099966
                     16,                 1.9841,                 2.4725,                 1.3787,                0.34309,                0.05574,                0.20076,                0.13012,                 1.9695,                 2.3058,                 1.4702,              0.0099961,              0.0099961,              0.0099961
                     17,                 1.9768,                 2.3739,                 1.4087,                0.34893,                0.07564,                0.21214,                0.11891,                 2.1785,                  2.522,                 1.6187,              0.0099956,              0.0099956,              0.0099956
                     18,                 1.9314,                  2.206,                 1.4209,                0.28802,                0.01217,                0.14972,                0.09137,                 2.5566,                 3.7161,                 2.0711,               0.009995,               0.009995,               0.009995
                     19,                 1.9833,                 2.2408,                 1.3931,                0.42692,                0.08817,                0.25712,                0.15868,                 1.9625,                 2.4365,                 1.5233,              0.0099944,              0.0099944,              0.0099944
                     20,                 1.8486,                 2.1548,                 1.4271,                0.39508,                0.07417,                0.23583,                0.14023,                 2.0356,                  2.375,                  1.567,              0.0099938,              0.0099938,              0.0099938
                     21,                 1.9583,                 2.1675,                 1.3857,                0.40545,                0.12704,                0.26624,                0.16386,                 1.8724,                 2.1327,                 1.4498,              0.0099931,              0.0099931,              0.0099931
                     22,                 1.8627,                 2.1736,                 1.4339,                0.48858,                 0.1496,                0.32067,                0.20208,                 1.8015,                 1.9697,                 1.3763,              0.0099924,              0.0099924,              0.0099924
                     23,                 1.7731,                 2.0634,                 1.3128,                0.48955,                0.06221,                0.27933,                0.18456,                 1.8196,                 2.3188,                 1.3792,              0.0099917,              0.0099917,              0.0099917
                     24,                 1.8578,                 2.1072,                 1.3261,                0.49145,                0.11044,                0.30404,                0.18982,                 1.8906,                 2.0456,                 1.4076,              0.0099909,              0.0099909,              0.0099909
                     25,                 1.8128,                 1.9961,                 1.3651,                0.42967,                0.17139,                0.30126,                0.18673,                 1.8334,                 2.0084,                 1.3987,              0.0099901,              0.0099901,              0.0099901
                     26,                 1.8111,                  2.001,                 1.3358,                0.45651,                0.13047,                0.29273,                0.18391,                 1.8833,                 2.1628,                 1.4151,              0.0099893,              0.0099893,              0.0099893
                     27,                 1.9086,                 1.9886,                 1.3263,                 0.5482,                0.10966,                0.33032,                0.20672,                 1.7698,                 1.9503,                 1.3445,              0.0099884,              0.0099884,              0.0099884
                     28,                   1.78,                 1.9609,                 1.3227,                0.42223,                0.22224,                0.32264,                0.19528,                 1.8108,                  1.814,                  1.347,              0.0099875,              0.0099875,              0.0099875
                     29,                 1.7786,                  1.899,                 1.2928,                0.57586,                0.18293,                0.38097,                0.24009,                 1.7821,                 1.8891,                 1.3604,              0.0099866,              0.0099866,              0.0099866
                     30,                 1.7754,                 1.8579,                 1.2919,                0.54621,                0.14123,                0.34765,                 0.2279,                  1.795,                 1.9392,                 1.3632,              0.0099856,              0.0099856,              0.0099856
                     31,                  1.808,                 1.8346,                 1.3085,                0.54663,                0.14923,                0.35254,                0.23046,                 1.9166,                 2.0909,                 1.4373,              0.0099846,              0.0099846,              0.0099846
                     32,                 1.7736,                 1.7101,                 1.2863,                0.57125,                 0.1877,                0.38078,                0.24911,                 1.7817,                 1.8773,                 1.3511,              0.0099835,              0.0099835,              0.0099835
                     33,                 1.7782,                 1.7888,                  1.319,                0.47666,                0.24129,                  0.364,                0.21809,                 1.8629,                 1.7391,                 1.3986,              0.0099825,              0.0099825,              0.0099825
                     34,                 1.8111,                 1.7329,                 1.3131,                0.58418,                0.18295,                0.38922,                0.25364,                 1.7634,                 1.8027,                 1.3472,              0.0099814,              0.0099814,              0.0099814
