                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.8354,                 4.8348,                 2.1206,                0.02455,                0.00742,                 0.0142,                0.00775,                 2.3223,                 3.8955,                 1.6404,               0.070462,              0.0032821,              0.0032821
                      1,                  2.245,                 3.8386,                 1.7047,                0.06035,                0.00692,                0.03198,                 0.0188,                 2.0928,                 3.2679,                 1.4969,               0.040462,              0.0066154,              0.0066154
                      2,                 2.1881,                 7.1006,                 1.5554,                0.04534,                 0.0418,                0.03138,                0.01368,                 2.5665,                 3.7395,                 1.6489,               0.010462,              0.0099487,              0.0099487
                      3,                 2.1048,                 13.376,                 1.4669,                0.07267,                0.04516,                0.04317,                0.02551,                 1.9754,                 3.8169,                 1.4379,              0.0099999,              0.0099999,              0.0099999
                      4,                  2.161,                 3.3182,                 1.5624,                0.10051,                0.03791,                0.06152,                  0.034,                 1.8771,                 3.0177,                 1.4065,              0.0099999,              0.0099999,              0.0099999
                      5,                 2.2438,                 3.6819,                 1.5211,                0.02155,                0.00808,                0.01309,                0.00625,                 1.9969,                 3.4137,                 1.4355,              0.0099999,              0.0099999,              0.0099999
                      6,                 2.1638,                 3.4981,                 1.4526,                0.05812,                0.02168,                0.03595,                0.01891,                 1.9601,                 2.8147,                  1.447,              0.0099998,              0.0099998,              0.0099998
                      7,                 2.0298,                 3.1256,                 1.5605,                0.10089,                0.02875,                 0.0598,                0.03586,                 1.9558,                 2.7842,                 1.4342,              0.0099998,              0.0099998,              0.0099998
                      8,                 2.0147,                  3.306,                 1.4517,                0.18503,                0.04145,                0.10528,                0.06913,                 1.8503,                 2.7186,                 1.3627,              0.0099997,              0.0099997,              0.0099997
                      9,                 1.9048,                 2.9965,                 1.4172,                0.17532,                0.02936,                0.09913,                0.06382,                 1.9787,                 2.7746,                 1.4014,              0.0099996,              0.0099996,              0.0099996
                     10,                 2.0042,                 2.9431,                 1.4033,                0.30792,                0.05709,                0.17929,                0.09696,                  2.053,                 2.5559,                 1.3872,              0.0099995,              0.0099995,              0.0099995
                     11,                 1.9856,                 2.6545,                  1.407,                0.28686,                0.05973,                0.16935,                 0.1005,                 2.0694,                 2.3952,                 1.4594,              0.0099994,              0.0099994,              0.0099994
                     12,                 2.0339,                 2.7105,                 1.4017,                0.22399,                  0.074,                0.14204,                 0.0841,                 2.0038,                 2.5736,                 1.4403,              0.0099993,              0.0099993,              0.0099993
                     13,                 1.8989,                 2.5263,                 1.3894,                0.34165,                0.06869,                 0.2038,                0.12642,                 1.9345,                 2.2064,                 1.3779,              0.0099991,              0.0099991,              0.0099991
                     14,                 1.9254,                 2.4174,                 1.3903,                0.41775,                0.11126,                0.25746,                0.16214,                 1.9323,                 2.1265,                 1.3747,               0.009999,               0.009999,               0.009999
                     15,                 1.9574,                 2.2854,                 1.3921,                0.57549,                0.09654,                0.33554,                0.21507,                 1.9695,                 2.0898,                 1.4005,              0.0099988,              0.0099988,              0.0099988
                     16,                 1.9056,                 2.2146,                 1.3981,                0.46032,                0.05728,                0.25836,                0.16583,                 1.9373,                 2.5926,                 1.4221,              0.0099986,              0.0099986,              0.0099986
