                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.7857,                 6.2239,                 2.1165,                0.00926,                  8e-05,                0.00468,                0.00257,                 2.3133,                 4.9062,                 1.5049,               0.070566,              0.0032704,              0.0032704
                      1,                 2.1946,                 4.7577,                 1.6009,                0.15668,                0.06134,                0.01421,                0.00701,                 2.0202,                    inf,                 1.3557,               0.040566,              0.0066037,              0.0066037
                      2,                 2.0081,                 4.0702,                  1.441,                 0.0825,                0.09524,                0.02894,                0.01507,                 1.9924,                    inf,                 1.3237,               0.010565,              0.0099365,              0.0099365
                      3,                  1.986,                 4.2585,                 1.4087,                0.08383,                0.06743,                0.05089,                0.02997,                  1.988,                  3.942,                 1.2967,              0.0099986,              0.0099986,              0.0099986
                      4,                 1.9928,                 3.9148,                 1.4112,                  0.038,                0.08725,                0.02686,                0.01454,                 1.9894,                 5.7581,                 1.2988,              0.0099986,              0.0099986,              0.0099986
                      5,                 2.0675,                 3.8307,                 1.4277,                0.08194,                0.09159,                0.02571,                0.01374,                 2.0133,                    inf,                 1.2939,              0.0099975,              0.0099975,              0.0099975
                      6,                  1.972,                 3.3834,                 1.3581,                0.07736,                0.09243,                0.05988,                0.03272,                  1.831,                 3.5165,                  1.237,              0.0099961,              0.0099961,              0.0099961
                      7,                 1.8641,                  3.533,                 1.3534,                0.23188,                0.13735,                0.06499,                0.03478,                 1.9122,                    inf,                 1.3076,              0.0099944,              0.0099944,              0.0099944
                      8,                 1.8886,                 3.2178,                 1.3687,                0.11253,                0.13982,                0.08425,                0.04289,                  2.087,                    inf,                 1.3943,              0.0099924,              0.0099924,              0.0099924
                      9,                  1.842,                 3.0141,                 1.3743,                0.13651,                0.17305,                0.11656,                 0.0623,                 1.9147,                 3.4927,                 1.2999,              0.0099901,              0.0099901,              0.0099901
                     10,                 1.8171,                  2.987,                 1.3492,                0.34102,                0.04047,                 0.1859,                0.11839,                 1.8467,                 2.5088,                  1.258,              0.0099875,              0.0099875,              0.0099875
                     11,                 1.8896,                 2.8436,                 1.3787,                0.27222,                0.06621,                0.15883,                0.09804,                  1.838,                 2.4948,                 1.2314,              0.0099846,              0.0099846,              0.0099846
                     12,                 1.8481,                 2.6418,                 1.3318,                0.36363,                0.08759,                0.21797,                0.13003,                  1.879,                 2.2274,                 1.2506,              0.0099814,              0.0099814,              0.0099814
                     13,                 1.8332,                 2.4984,                 1.3416,                0.32973,                0.15834,                0.22806,                0.12504,                 2.0059,                 2.2757,                 1.2962,              0.0099778,              0.0099778,              0.0099778
                     14,                 1.8144,                 2.4004,                   1.31,                0.36301,                0.09257,                0.22119,                0.11575,                 2.1139,                 2.3311,                 1.3845,               0.009974,               0.009974,               0.009974
                     15,                 1.7998,                 2.2936,                 1.2958,                0.37529,                0.15968,                 0.2564,                 0.1407,                 1.9934,                  2.124,                 1.3004,              0.0099698,              0.0099698,              0.0099698
                     16,                 1.8116,                 2.2152,                 1.2917,                0.45686,                  0.131,                0.28718,                0.16717,                 1.8897,                 2.0795,                 1.2586,              0.0099653,              0.0099653,              0.0099653
                     17,                 1.7633,                 2.2031,                 1.2822,                0.55216,                0.08565,                0.31947,                0.19548,                 1.9057,                 2.1603,                 1.2614,              0.0099606,              0.0099606,              0.0099606
                     18,                 1.7244,                 2.1352,                 1.2607,                0.43937,                0.15117,                0.29636,                0.17904,                 1.8387,                 1.9819,                 1.2202,              0.0099555,              0.0099555,              0.0099555
                     19,                  1.728,                 2.0734,                 1.2586,                0.37125,                0.22231,                0.29092,                0.16562,                 1.8809,                 1.9552,                 1.2371,              0.0099501,              0.0099501,              0.0099501
                     20,                 1.6774,                 2.0257,                 1.2279,                0.40498,                0.19859,                0.30028,                0.16991,                 1.8779,                 1.9596,                 1.2425,              0.0099444,              0.0099444,              0.0099444
                     21,                 1.6515,                 1.9183,                  1.229,                0.46722,                0.16777,                0.31998,                0.19422,                 1.8405,                 1.8852,                 1.2184,              0.0099384,              0.0099384,              0.0099384
                     22,                 1.7099,                 1.8856,                 1.2455,                0.47568,                0.17641,                0.32309,                0.17205,                 2.0149,                 1.9776,                 1.3182,              0.0099321,              0.0099321,              0.0099321
                     23,                 1.7357,                 1.8022,                  1.237,                0.49346,                0.20464,                0.35564,                0.19803,                 1.9389,                 1.8168,                 1.2715,              0.0099255,              0.0099255,              0.0099255
                     24,                 1.6663,                 1.7087,                  1.231,                0.46812,                0.21903,                0.34955,                0.20727,                 1.8041,                 1.7671,                 1.2059,              0.0099186,              0.0099186,              0.0099186
                     25,                 1.6594,                 1.6724,                 1.2081,                0.40077,                0.24505,                0.32607,                0.19201,                 1.7801,                  1.791,                 1.2071,              0.0099114,              0.0099114,              0.0099114
                     26,                  1.599,                 1.6468,                 1.1956,                0.56865,                0.17722,                0.37727,                0.22068,                 1.8611,                 1.8359,                 1.2346,              0.0099039,              0.0099039,              0.0099039
                     27,                 1.5835,                 1.6561,                 1.1734,                0.49796,                0.25575,                0.38199,                0.22769,                 1.8049,                 1.7019,                  1.203,              0.0098961,              0.0098961,              0.0098961
                     28,                 1.5259,                 1.6434,                 1.1498,                0.51557,                0.22395,                 0.3771,                0.22722,                 1.8029,                   1.74,                  1.211,               0.009888,               0.009888,               0.009888
                     29,                  1.472,                 1.6124,                 1.1372,                0.50102,                0.27536,                0.39714,                0.23748,                  1.753,                 1.6756,                 1.1954,              0.0098796,              0.0098796,              0.0098796
                     30,                 1.4597,                 1.5502,                  1.116,                0.61733,                0.19305,                0.40379,                0.24532,                    1.8,                 1.8911,                 1.2081,              0.0098709,              0.0098709,              0.0098709
