                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  3.083,                 6.3339,                   2.27,                      0,                      0,                      0,                      0,                 2.3834,                 5.2723,                 1.5008,               0.070566,              0.0032704,              0.0032704
                      1,                 2.3528,                 4.9477,                 1.6481,                0.06111,                0.07826,                0.01959,                0.00984,                 2.1099,                    inf,                 1.4103,               0.040566,              0.0066037,              0.0066037
                      2,                 2.3043,                 4.2098,                 1.5266,                0.14729,                 0.0585,                0.03528,                0.01865,                  2.113,                 4.6269,                 1.4102,               0.010565,              0.0099365,              0.0099365
                      3,                 2.1434,                  4.652,                 1.4594,                0.01782,                0.09228,                0.01495,                0.00679,                 2.2277,                    inf,                 1.4631,              0.0099986,              0.0099986,              0.0099986
                      4,                 2.2938,                  6.117,                 1.5378,                0.15026,                0.05954,                0.02053,                0.00902,                 2.1743,                    inf,                 1.4138,              0.0099986,              0.0099986,              0.0099986
                      5,                 2.2442,                 4.1719,                 1.5282,                0.07158,                0.08955,                0.02703,                0.01174,                 2.2286,                    inf,                 1.4921,              0.0099975,              0.0099975,              0.0099975
                      6,                 2.0805,                 3.2945,                 1.5021,                0.10479,                0.04997,                0.06515,                0.03717,                 1.9973,                 3.2301,                 1.3494,              0.0099961,              0.0099961,              0.0099961
                      7,                 2.2464,                 3.2924,                 1.5763,                0.26206,                 0.0903,                  0.077,                0.03128,                 2.4283,                 4.0397,                 1.5981,              0.0099944,              0.0099944,              0.0099944
                      8,                 2.1606,                 3.2902,                 1.4603,                0.08557,                  0.154,                0.07374,                0.03733,                 1.9949,                 5.1757,                 1.3448,              0.0099924,              0.0099924,              0.0099924
                      9,                 2.0985,                  3.538,                 1.4957,                0.16188,                0.09299,                 0.1052,                  0.055,                 2.1564,                 2.9746,                 1.3728,              0.0099901,              0.0099901,              0.0099901
                     10,                 2.0285,                  2.929,                 1.4362,                0.22762,                0.03764,                0.12637,                0.07913,                  1.858,                 2.5671,                 1.2553,              0.0099875,              0.0099875,              0.0099875
