                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.726,                 16.809,                 2.2979,                  0.025,                0.00022,                0.01257,                0.00502,                 2.5198,                 4.5029,                 2.2297,                 0.0703,                 0.0033,                 0.0033
                      1,                 2.2709,                 9.0487,                 1.9705,                0.02333,                0.00136,                0.01219,                0.00728,                 2.0541,                 4.2458,                 1.9496,                 0.0403,              0.0066333,              0.0066333
                      2,                  2.077,                 15.831,                 1.7195,                0.02333,                0.00136,                0.01219,                0.00728,                 2.2175,                 4.8423,                 2.0618,                 0.0103,              0.0099666,              0.0099666
                      3,                 1.8977,                 9.7344,                 1.5908,                0.02333,                0.00136,                0.01219,                0.00728,                 1.9283,                 4.5756,                 1.6475,              0.0099999,              0.0099999,              0.0099999
                      4,                 1.7602,                  7.748,                 1.4534,                0.02696,                0.00081,                0.01384,                0.00879,                 1.9801,                 4.3503,                 1.6477,              0.0099999,              0.0099999,              0.0099999
                      5,                 1.9848,                 5.2569,                 1.6205,                 0.0304,                0.00235,                0.01567,                0.00781,                 2.1288,                 4.5335,                  1.997,              0.0099999,              0.0099999,              0.0099999
                      6,                 1.9882,                 5.8647,                 1.5447,                 0.0304,                0.00235,                0.01567,                0.00781,                 2.2479,                 4.3899,                 1.5209,              0.0099998,              0.0099998,              0.0099998
                      7,                 1.8987,                 5.5034,                 1.4353,                0.08138,                0.00452,                0.04262,                0.02866,                 1.8522,                 3.8375,                 1.4441,              0.0099998,              0.0099998,              0.0099998
                      8,                 1.7987,                 4.9801,                 1.4458,                0.00703,                 0.0007,                0.00375,                0.00276,                 1.9036,                 4.4912,                 1.5462,              0.0099997,              0.0099997,              0.0099997
                      9,                 1.7651,                 5.0943,                 1.3966,                0.00703,                 0.0007,                0.00375,                0.00276,                 1.7743,                 5.0187,                  1.569,              0.0099996,              0.0099996,              0.0099996
                     10,                 1.7745,                 4.6302,                 1.4835,                0.05706,                0.00517,                0.03151,                0.02278,                 2.0076,                 4.7959,                 1.8179,              0.0099995,              0.0099995,              0.0099995
                     11,                  1.979,                 4.4902,                 1.6293,                 0.0769,                0.02295,                0.04501,                0.03075,                 1.8481,                 3.9527,                 1.6323,              0.0099994,              0.0099994,              0.0099994
                     12,                 1.7368,                 4.6988,                 1.5022,                0.08111,                0.01857,                 0.0472,                 0.0327,                 1.7723,                  3.827,                  1.563,              0.0099993,              0.0099993,              0.0099993
                     13,                 1.8881,                 4.2631,                 1.4693,                0.09999,                0.00341,                0.05178,                0.03582,                 1.8862,                 4.1905,                 1.6837,              0.0099991,              0.0099991,              0.0099991
                     14,                 1.8395,                  5.985,                 1.5135,                0.09001,                0.07351,                0.06591,                 0.0425,                  1.936,                   3.63,                 1.7042,               0.009999,               0.009999,               0.009999
                     15,                 1.8802,                 4.5907,                 1.5365,                0.01886,                0.00309,                  0.011,                 0.0077,                 1.9812,                 4.3479,                 1.8057,              0.0099988,              0.0099988,              0.0099988
                     16,                 1.8147,                 4.3065,                  1.477,                0.04745,                0.00178,                0.02463,                0.01734,                 1.9004,                 4.5855,                 1.6844,              0.0099986,              0.0099986,              0.0099986
                     17,                 1.8414,                 4.4268,                 1.4744,                0.04745,                0.00178,                0.02463,                0.01734,                 1.7834,                 4.4266,                 1.5979,              0.0099984,              0.0099984,              0.0099984
                     18,                 1.9131,                 4.1341,                 1.5311,                 0.1231,                0.01233,                0.06791,                0.04433,                 1.7255,                 3.2145,                 1.5128,              0.0099982,              0.0099982,              0.0099982
                     19,                 1.7556,                  3.882,                 1.4734,                 0.0839,                0.00584,                0.04484,                0.02235,                 1.8329,                 4.3588,                 1.7067,               0.009998,               0.009998,               0.009998
                     20,                 1.7849,                 3.9084,                 1.4485,                0.17247,                0.09382,                0.11731,                 0.0757,                 1.7427,                 3.0062,                 1.5376,              0.0099978,              0.0099978,              0.0099978
                     21,                 1.7584,                 3.8177,                 1.4157,                0.08558,                0.01104,                 0.0469,                0.03221,                 1.9572,                 3.7449,                 1.6809,              0.0099975,              0.0099975,              0.0099975
