                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.7633,                  5.613,                 2.0862,                0.76938,                0.03931,                0.02076,                0.00963,                 2.2964,                 4.8233,                 1.4879,               0.070566,              0.0032704,              0.0032704
                      1,                 2.2529,                 4.2482,                 1.6372,                0.45594,                0.10571,                0.03516,                0.01742,                 2.0435,                    inf,                  1.384,               0.040566,              0.0066037,              0.0066037
                      2,                 2.1255,                  4.004,                 1.5882,                0.32919,                0.07905,                0.03633,                0.01775,                 1.9982,                 3.4588,                 1.3455,               0.010565,              0.0099365,              0.0099365
                      3,                 2.2099,                  3.884,                 1.5691,                  0.328,                0.12954,                0.04722,                0.02641,                  1.964,                 3.3825,                 1.3046,              0.0099986,              0.0099986,              0.0099986
                      4,                 1.9668,                 3.6203,                 1.4557,                0.34876,                0.14777,                0.06173,                0.03196,                 1.9475,                    inf,                 1.3198,              0.0099986,              0.0099986,              0.0099986
                      5,                 1.9955,                 3.6286,                 1.4497,                0.06025,                0.15511,                0.04925,                0.02464,                 1.9847,                    inf,                 1.3372,              0.0099975,              0.0099975,              0.0099975
                      6,                 1.9776,                 3.5603,                 1.4236,                0.20085,                0.12349,                0.05918,                0.03195,                 1.8494,                 2.9607,                  1.251,              0.0099961,              0.0099961,              0.0099961
                      7,                 1.9523,                 3.5214,                 1.4047,                0.19573,                0.13462,                0.04653,                0.02291,                 2.0144,                    inf,                 1.3209,              0.0099944,              0.0099944,              0.0099944
                      8,                 2.0763,                 3.4601,                 1.4982,                0.30805,                0.10809,                0.05358,                0.02896,                 1.8931,                 2.7919,                 1.2676,              0.0099924,              0.0099924,              0.0099924
                      9,                 1.9507,                 2.9333,                 1.4106,                0.19073,                0.15619,                0.07075,                0.02704,                 2.4009,                 2.6461,                 1.5322,              0.0099901,              0.0099901,              0.0099901
                     10,                 2.0962,                 2.8309,                 1.4955,                 0.2168,                0.18586,                0.09897,                 0.0525,                 1.8935,                 2.3782,                 1.2686,              0.0099875,              0.0099875,              0.0099875
                     11,                 1.8757,                 2.8162,                 1.3761,                0.20891,                0.18683,                0.09826,                 0.0555,                 1.8129,                 2.5541,                 1.2406,              0.0099846,              0.0099846,              0.0099846
                     12,                 1.8461,                 2.8403,                 1.3216,                0.23127,                0.15931,                0.12934,                0.07028,                 1.8034,                 2.3191,                 1.2139,              0.0099814,              0.0099814,              0.0099814
                     13,                 1.7985,                 2.8146,                 1.3244,                0.16494,                0.19944,                0.12517,                0.06972,                 1.8222,                 2.4123,                 1.2181,              0.0099778,              0.0099778,              0.0099778
                     14,                 1.8292,                 2.6253,                 1.3272,                0.33823,                0.17567,                0.14423,                0.07743,                 1.8529,                 2.2089,                 1.2339,               0.009974,               0.009974,               0.009974
