                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.9539,                 5.0896,                 2.1852,                0.00956,                0.00022,                0.00317,                0.00127,                 2.9361,                 4.1698,                 1.9141,                 0.0706,              0.0032667,              0.0032667
                      1,                 2.3604,                 10.098,                 1.7587,                0.02651,                0.02913,                 0.0168,                0.00825,                 2.8004,                 4.7371,                 2.0921,                 0.0406,                 0.0066,                 0.0066
                      2,                 2.4138,                 5.2729,                 1.7763,                0.02994,                 0.0183,                0.01913,                0.01087,                 2.3903,                 3.7122,                 1.7507,                 0.0106,              0.0099333,              0.0099333
                      3,                 2.1974,                 3.6794,                 1.5216,                0.03372,                0.03758,                0.02579,                0.01577,                 2.0378,                 3.4932,                  1.513,              0.0099999,              0.0099999,              0.0099999
                      4,                 2.1934,                 3.8446,                 1.5631,                0.06115,                0.08918,                0.04829,                0.02482,                 2.5191,                 6.4338,                 1.7075,              0.0099999,              0.0099999,              0.0099999
                      5,                 2.1147,                 47.533,                 1.4357,                0.05406,                0.01566,                0.02874,                0.01859,                 2.2733,                 6.7111,                 1.4705,              0.0099999,              0.0099999,              0.0099999
                      6,                  2.192,                 3.6408,                  1.431,                0.07437,                0.03028,                0.04095,                0.02473,                 2.1978,                 3.7455,                 1.4944,              0.0099998,              0.0099998,              0.0099998
                      7,                 2.0792,                 3.2891,                 1.4367,                0.05778,                0.01643,                0.03196,                0.01936,                 1.8752,                 3.0816,                 1.3967,              0.0099998,              0.0099998,              0.0099998
                      8,                 2.0091,                 3.3047,                 1.5412,                0.06906,                0.00443,                0.03611,                0.02258,                  1.901,                 2.9127,                 1.3937,              0.0099997,              0.0099997,              0.0099997
                      9,                 2.0042,                 3.3294,                 1.3914,                0.14971,                0.09724,                0.10172,                0.05703,                 1.9692,                 3.4983,                 1.4342,              0.0099996,              0.0099996,              0.0099996
                     10,                 2.0471,                 3.3143,                 1.4325,                0.17399,                0.02706,                0.10018,                0.05443,                 2.1034,                 2.7668,                  1.517,              0.0099995,              0.0099995,              0.0099995
                     11,                 2.1431,                 3.0692,                  1.574,                0.17984,                0.00679,                0.09348,                 0.0555,                 2.0809,                 2.9362,                 1.5962,              0.0099994,              0.0099994,              0.0099994
                     12,                 1.9867,                 2.8415,                 1.4849,                0.18247,                0.00557,                0.09424,                0.06196,                 2.5461,                 3.7663,                 2.0968,              0.0099993,              0.0099993,              0.0099993
                     13,                 1.9763,                 2.6673,                 1.4476,                0.35469,                0.04674,                0.19807,                0.12388,                 1.9835,                  2.792,                 1.4912,              0.0099991,              0.0099991,              0.0099991
                     14,                 2.0149,                 2.7549,                 1.4591,                 0.3055,                0.03407,                0.17038,                0.10408,                 1.8781,                 2.4817,                 1.4397,               0.009999,               0.009999,               0.009999
                     15,                 2.0837,                 2.7363,                 1.4667,                0.37284,                0.04871,                 0.2111,                0.13648,                 1.8419,                 2.4716,                  1.402,              0.0099988,              0.0099988,              0.0099988
                     16,                  1.963,                 2.7315,                 1.4411,                0.30096,                0.12202,                0.20906,                0.13537,                 2.0303,                 2.5165,                 1.5069,              0.0099986,              0.0099986,              0.0099986
                     17,                 1.8817,                 2.5612,                 1.4139,                0.43358,                0.05896,                0.24645,                0.16153,                 1.9423,                  2.524,                 1.5043,              0.0099984,              0.0099984,              0.0099984
                     18,                 1.9527,                 2.5484,                 1.3802,                0.28483,                0.03359,                0.15874,                0.10342,                 1.8085,                 2.4463,                 1.3951,              0.0099982,              0.0099982,              0.0099982
                     19,                 1.8971,                 2.4401,                 1.3949,                0.35755,                0.07902,                 0.2192,                0.13657,                 2.0183,                 2.6869,                 1.5088,               0.009998,               0.009998,               0.009998
                     20,                 1.8687,                 10.507,                 1.3885,                0.41982,                0.14609,                0.28134,                0.18102,                 1.8347,                 2.1652,                 1.3788,              0.0099978,              0.0099978,              0.0099978
                     21,                 1.9938,                 2.4427,                  1.384,                 0.3823,                0.04574,                0.21447,                0.13155,                  2.232,                 2.8564,                 1.6999,              0.0099975,              0.0099975,              0.0099975
                     22,                 1.8837,                 2.2767,                 1.4381,                0.39708,                0.18249,                0.28537,                0.17817,                 1.9505,                 2.1603,                 1.4457,              0.0099973,              0.0099973,              0.0099973
                     23,                 1.9247,                 2.2922,                 1.3992,                0.44245,                0.08361,                0.26135,                0.15897,                  2.025,                 2.4192,                  1.447,               0.009997,               0.009997,               0.009997
                     24,                 1.9567,                 2.2034,                 1.3855,                0.53006,                 0.0906,                0.30991,                0.19495,                 1.8737,                 2.1747,                 1.4038,              0.0099967,              0.0099967,              0.0099967
                     25,                 1.9749,                 2.0932,                  1.427,                0.45523,                0.15289,                0.30443,                0.17785,                 2.0492,                  2.058,                 1.4811,              0.0099964,              0.0099964,              0.0099964
                     26,                 1.8568,                 5.7842,                 1.3592,                0.45523,                0.15289,                0.30443,                0.17785,                 2.0162,                 3.6248,                 1.4874,              0.0099961,              0.0099961,              0.0099961
                     27,                 1.8875,                 3.2487,                 1.4189,                0.15551,                0.00427,                0.07986,                 0.0513,                 1.7999,                  2.846,                 1.3702,              0.0099958,              0.0099958,              0.0099958
                     28,                  1.883,                 2.4143,                  1.402,                0.33121,                0.18239,                0.25272,                0.15667,                 1.8372,                 2.1696,                 1.4148,              0.0099955,              0.0099955,              0.0099955
                     29,                 1.8558,                 2.2576,                 1.4022,                0.40275,                 0.1304,                0.26645,                0.17146,                 1.7818,                 2.0352,                 1.3772,              0.0099952,              0.0099952,              0.0099952
