                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0385,                 5.0737,                 2.5543,                0.00507,                0.01806,                0.00333,                0.00116,                   2.63,                 4.5763,                 2.2043,               0.070667,              0.0032593,              0.0032593
                      1,                 2.4528,                 4.3361,                 2.0289,                0.52168,                 0.0589,                0.01233,                0.00578,                  2.354,                    inf,                 1.7664,               0.040661,              0.0065871,              0.0065871
                      2,                 2.2843,                 3.8262,                 1.7501,                0.00871,                0.06156,                0.00624,                0.00237,                 2.5196,                    inf,                 1.7791,                0.01065,              0.0099094,              0.0099094
                      3,                  2.399,                 3.6858,                 1.7369,                0.10992,                0.08418,                0.01914,                 0.0092,                 2.5579,                 6.4551,                 1.6844,               0.009975,               0.009975,               0.009975
                      4,                 2.1766,                 3.5435,                 1.5467,                 0.0308,                0.11678,                0.02367,                0.00997,                 2.2337,                 4.3313,                 1.5327,               0.009975,               0.009975,               0.009975
                      5,                  2.073,                 3.6953,                 1.5373,                0.53489,                0.11018,                0.05558,                0.02749,                 2.0768,                 3.8188,                 1.4768,              0.0099667,              0.0099667,              0.0099667
                      6,                 1.9707,                 3.3327,                 1.4931,                0.17629,                0.16169,                0.03844,                0.01877,                 2.0706,                 3.3182,                 1.5167,              0.0099583,              0.0099583,              0.0099583
                      7,                 1.9254,                 3.4257,                 1.5398,                 0.1984,                0.13986,                0.04548,                 0.0241,                 1.9447,                 4.5221,                 1.4586,                0.00995,                0.00995,                0.00995
                      8,                 2.3373,                 3.6522,                 1.6487,                 0.1696,                0.09976,                 0.0279,                0.01239,                 2.3506,                  4.018,                 1.6024,              0.0099417,              0.0099417,              0.0099417
                      9,                 2.1548,                  3.477,                 1.5953,                0.22915,                0.15822,                0.04727,                0.02542,                 2.0143,                 3.1708,                 1.4289,              0.0099333,              0.0099333,              0.0099333
                     10,                 1.9897,                 3.2581,                 1.5927,                0.39804,                0.13909,                0.07779,                0.03708,                 2.0552,                 2.9519,                 1.4974,               0.009925,               0.009925,               0.009925
                     11,                 2.0219,                 3.1015,                  1.467,                0.41738,                0.15575,                0.07272,                0.03752,                 1.9726,                 2.8367,                 1.4442,              0.0099167,              0.0099167,              0.0099167
                     12,                 2.0901,                 2.9354,                 1.5461,                0.32948,                0.20558,                0.10032,                 0.0523,                 1.9586,                 2.8462,                 1.4648,              0.0099083,              0.0099083,              0.0099083
                     13,                 1.9431,                 2.9497,                 1.4833,                 0.3266,                0.16534,                0.10216,                0.05162,                 1.9392,                 2.7424,                  1.424,                 0.0099,                 0.0099,                 0.0099
                     14,                 1.9004,                 2.8472,                 1.4237,                0.44144,                 0.1728,                0.11906,                0.05742,                   1.99,                 2.7926,                 1.4213,              0.0098917,              0.0098917,              0.0098917
                     15,                 1.9642,                 2.7031,                 1.4485,                0.35005,                0.21418,                0.14451,                0.07265,                 1.9651,                 2.4523,                  1.438,              0.0098833,              0.0098833,              0.0098833
                     16,                 1.9972,                 2.5665,                 1.4418,                0.35781,                0.19787,                0.14228,                0.06488,                 2.1412,                 2.5063,                 1.5672,               0.009875,               0.009875,               0.009875
                     17,                 1.8476,                 2.4994,                 1.3819,                 0.4295,                0.24114,                0.19116,                0.09776,                 1.9248,                  2.533,                 1.4208,              0.0098667,              0.0098667,              0.0098667
                     18,                 1.8113,                 2.6152,                  1.431,                 0.4452,                0.21912,                0.18676,                0.09128,                 1.9482,                 2.3659,                 1.4202,              0.0098583,              0.0098583,              0.0098583
                     19,                 1.7939,                 2.4838,                 1.3597,                0.44861,                 0.2165,                0.18761,                0.09998,                 1.8811,                 2.4009,                 1.3913,                0.00985,                0.00985,                0.00985
                     20,                  1.904,                 2.4756,                 1.4166,                0.50788,                0.24059,                0.21297,                0.11207,                 1.8944,                 2.2356,                 1.3825,              0.0098417,              0.0098417,              0.0098417
                     21,                 1.8997,                 2.3681,                 1.3768,                0.53534,                0.24858,                0.22481,                0.11212,                 1.9781,                  2.175,                 1.4141,              0.0098333,              0.0098333,              0.0098333
                     22,                 1.8613,                 2.2671,                 1.3526,                0.48589,                0.25434,                0.23619,                 0.1081,                 2.0634,                 2.1431,                 1.5048,               0.009825,               0.009825,               0.009825
                     23,                 1.9122,                 2.2793,                 1.4301,                0.52799,                0.26769,                0.25632,                0.13345,                  1.894,                 2.0154,                 1.4109,              0.0098167,              0.0098167,              0.0098167
