                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.1101,                 5.0854,                 2.2913,                0.01087,                0.00044,                0.00546,                0.00229,                  2.854,                 4.3079,                 1.9748,               0.070652,              0.0032609,              0.0032609
                      1,                 2.3729,                 4.1557,                 1.8484,                0.02303,                0.04087,                0.01812,                0.01042,                 2.1866,                 4.1735,                 1.6821,               0.040652,              0.0065942,              0.0065942
                      2,                 2.5416,                 4.1865,                 1.8087,                0.03215,                0.04709,                0.02643,                0.01381,                 2.3394,                 4.2843,                 1.7636,               0.010652,              0.0099275,              0.0099275
                      3,                 2.3279,                 3.7971,                 1.6973,                0.13425,                0.02951,                0.03179,                0.01691,                  2.205,                 5.0696,                 1.5926,              0.0099999,              0.0099999,              0.0099999
                      4,                 2.1923,                 3.9969,                 1.5696,                0.02255,                 0.0065,                0.01331,                0.00907,                 2.0085,                 3.8882,                 1.4918,              0.0099999,              0.0099999,              0.0099999
                      5,                 2.1441,                    3.6,                 1.5346,                0.16002,                0.04448,                0.04731,                0.02421,                 1.9855,                 3.9663,                 1.5031,              0.0099999,              0.0099999,              0.0099999
                      6,                 2.0559,                 3.2242,                 1.4884,                0.04214,                0.00741,                0.02271,                0.01141,                 2.2135,                 3.2561,                 1.7004,              0.0099998,              0.0099998,              0.0099998
                      7,                 2.1808,                 3.2433,                 1.5972,                 0.1049,                0.02265,                0.05964,                0.03544,                 2.1004,                 3.1277,                 1.4875,              0.0099998,              0.0099998,              0.0099998
                      8,                 2.2679,                 2.9366,                 1.5299,                0.10106,                0.01208,                0.05558,                 0.0335,                 2.1046,                 2.8716,                 1.6016,              0.0099997,              0.0099997,              0.0099997
                      9,                 2.1605,                 2.8941,                 1.5226,                0.12737,                0.05149,                0.07681,                0.04085,                 2.2436,                 3.1831,                   1.63,              0.0099996,              0.0099996,              0.0099996
                     10,                 2.0275,                 2.9974,                 1.4363,                0.20596,                0.00906,                0.10711,                0.07404,                 1.9751,                 2.9137,                  1.482,              0.0099995,              0.0099995,              0.0099995
                     11,                 2.0999,                 3.1191,                 1.4587,                0.12289,                 0.0318,                0.07156,                0.04323,                 1.8884,                 2.7092,                 1.4241,              0.0099994,              0.0099994,              0.0099994
                     12,                 1.9723,                 2.9498,                 1.4729,                0.22163,                0.10069,                0.14363,                0.08561,                 1.9226,                 2.6189,                 1.4559,              0.0099993,              0.0099993,              0.0099993
                     13,                 1.9333,                 2.7616,                 1.4056,                0.23038,                0.06545,                0.14214,                0.09039,                 1.8358,                 2.5106,                 1.4584,              0.0099991,              0.0099991,              0.0099991
                     14,                 1.9316,                 2.6313,                 1.4603,                0.17216,                0.01672,                0.09416,                0.05887,                 1.9102,                 2.6047,                 1.4642,               0.009999,               0.009999,               0.009999
                     15,                 1.9857,                  2.619,                 1.4504,                0.34014,                0.03521,                0.18696,                0.11639,                 1.8256,                 2.3216,                 1.4219,              0.0099988,              0.0099988,              0.0099988
                     16,                 1.8578,                 2.4044,                 1.4169,                0.37625,                0.06174,                0.21535,                0.13965,                 1.8765,                 2.3162,                 1.4347,              0.0099986,              0.0099986,              0.0099986
                     17,                 2.0002,                 2.3717,                 1.4507,                0.42779,                0.09095,                0.25488,                0.15879,                 1.9017,                  2.238,                 1.4555,              0.0099984,              0.0099984,              0.0099984
                     18,                  1.925,                 2.3134,                 1.4842,                0.41169,                0.04703,                0.22701,                0.13623,                 2.0747,                  2.657,                  1.602,              0.0099982,              0.0099982,              0.0099982
                     19,                 1.9469,                 2.2711,                 1.4142,                0.35447,                0.18495,                0.26622,                 0.1615,                 1.8293,                 2.1042,                 1.4021,               0.009998,               0.009998,               0.009998
                     20,                 2.0901,                 2.3268,                 1.4473,                0.45756,                0.10567,                0.28101,                0.17366,                 1.9005,                 2.0977,                 1.4449,              0.0099978,              0.0099978,              0.0099978
                     21,                 2.0073,                  2.403,                 1.4621,                 0.5237,                0.06942,                0.29412,                0.18071,                 2.0254,                 2.4079,                 1.5809,              0.0099975,              0.0099975,              0.0099975
                     22,                 1.9691,                 2.1723,                  1.412,                0.53916,                0.07546,                0.30561,                0.19131,                 2.0682,                 2.3881,                 1.5659,              0.0099973,              0.0099973,              0.0099973
                     23,                 1.9185,                 2.1624,                 1.4795,                0.45088,                0.14814,                0.30109,                0.18189,                 1.8203,                 1.9793,                 1.4128,               0.009997,               0.009997,               0.009997
                     24,                 1.8739,                 2.1069,                 1.3764,                0.51344,                0.15654,                0.33551,                0.21288,                 1.9589,                 2.1892,                 1.5066,              0.0099967,              0.0099967,              0.0099967
                     25,                 1.8465,                 2.2157,                 1.3784,                0.55075,                0.07426,                0.31341,                0.20873,                 1.8457,                 2.2553,                 1.4316,              0.0099964,              0.0099964,              0.0099964
                     26,                 1.8254,                 2.0882,                 1.3303,                0.45076,                0.16031,                0.30887,                0.18691,                 1.8612,                 1.9369,                 1.3995,              0.0099961,              0.0099961,              0.0099961
                     27,                 2.0494,                 2.3344,                 1.4544,                0.43086,                0.11974,                0.27531,                0.17118,                 1.8434,                  1.995,                 1.3965,              0.0099958,              0.0099958,              0.0099958
                     28,                 1.8308,                 2.0412,                  1.349,                0.43128,                0.19375,                0.31725,                0.19974,                 1.7976,                 1.9027,                 1.3769,              0.0099955,              0.0099955,              0.0099955
                     29,                 1.7932,                 1.9882,                 1.3582,                0.40729,                0.22514,                0.31733,                0.19245,                 1.8357,                 1.9752,                 1.4182,              0.0099952,              0.0099952,              0.0099952
                     30,                 1.8251,                 2.0907,                 1.3166,                0.50638,                0.13608,                0.32154,                0.20851,                 1.7417,                 1.9185,                 1.3436,              0.0099948,              0.0099948,              0.0099948
                     31,                 1.8313,                 2.0382,                 1.2819,                0.53861,                0.17311,                 0.3574,                  0.233,                  1.742,                 1.9134,                 1.3453,              0.0099944,              0.0099944,              0.0099944
                     32,                 1.8167,                 2.0231,                 1.3156,                0.47961,                0.20659,                0.34472,                0.21953,                 1.7585,                 1.8242,                  1.356,              0.0099941,              0.0099941,              0.0099941
                     33,                 1.8406,                 1.8505,                 1.2932,                0.47768,                0.21784,                0.35239,                0.22078,                 1.8377,                 1.8113,                 1.3961,              0.0099937,              0.0099937,              0.0099937
                     34,                 1.8357,                 1.8364,                 1.3478,                0.48392,                0.22852,                 0.3612,                0.21578,                 1.8131,                 1.8654,                 1.3869,              0.0099933,              0.0099933,              0.0099933
                     35,                 1.8093,                 1.8299,                 1.3331,                0.52324,                0.21252,                0.37142,                0.23243,                 1.8401,                 1.8405,                 1.3966,              0.0099929,              0.0099929,              0.0099929
                     36,                   1.78,                 1.7482,                 1.3703,                0.58503,                0.19618,                0.39682,                0.23849,                 1.8919,                 1.7927,                 1.4051,              0.0099924,              0.0099924,              0.0099924
                     37,                 1.7999,                 1.8356,                 1.3503,                0.56918,                 0.1979,                 0.3852,                0.24908,                 1.7604,                 1.9178,                  1.374,               0.009992,               0.009992,               0.009992
                     38,                 1.7954,                 1.9938,                 1.3412,                0.55864,                0.21152,                0.39222,                0.25553,                   1.74,                 1.8275,                 1.3599,              0.0099916,              0.0099916,              0.0099916
                     39,                 1.7209,                 1.7615,                 1.3436,                0.45391,                0.29935,                0.38691,                0.24505,                 1.7118,                 1.6699,                 1.3311,              0.0099911,              0.0099911,              0.0099911
                     40,                  1.807,                 1.8204,                 1.2859,                0.46759,                0.29231,                0.38737,                 0.2381,                 1.7791,                 1.7086,                 1.3517,              0.0099906,              0.0099906,              0.0099906
                     41,                 1.7471,                 1.6515,                 1.2997,                0.52661,                0.24263,                0.38928,                0.24572,                 1.7551,                 1.7109,                 1.3503,              0.0099901,              0.0099901,              0.0099901
