                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.87903,                 4.7447,                 1.3659,                0.28605,                0.00715,                0.14645,                0.09587,                0.94522,                 5.6291,                 1.4897,               0.009997,               0.009997,               0.009997
                     35,                0.87574,                 4.5873,                  1.358,                0.44667,                0.05435,                0.25143,                0.16955,                0.83134,                 4.0963,                 1.3031,              0.0099968,              0.0099968,              0.0099968
                     36,                0.86635,                 10.036,                 1.3608,                0.35495,                0.02629,                0.19053,                0.11315,                0.84931,                 4.4896,                  1.327,              0.0099966,              0.0099966,              0.0099966
                     37,                 0.8837,                 4.6331,                 1.3313,                 0.4112,                0.07483,                0.24113,                0.15428,                0.84163,                 4.0927,                  1.321,              0.0099964,              0.0099964,              0.0099964
                     38,                0.86817,                 6.3997,                 1.3129,                0.31432,                0.01047,                0.16243,                0.10285,                0.91145,                 5.1131,                 1.4377,              0.0099962,              0.0099962,              0.0099962
                     39,                0.88946,                 4.4414,                 1.2867,                0.49264,                0.07861,                0.28552,                0.18027,                0.82783,                 4.6269,                  1.282,               0.009996,               0.009996,               0.009996
                     40,                0.84009,                 4.2128,                 1.2998,                0.51222,                0.05732,                0.28504,                0.18758,                0.82157,                 4.1119,                 1.2851,              0.0099958,              0.0099958,              0.0099958
                     41,                0.86005,                 4.2286,                 1.2977,                0.36927,                0.05087,                0.20924,                0.13133,                0.89926,                 4.3928,                 1.3809,              0.0099956,              0.0099956,              0.0099956
                     42,                0.85484,                 4.4285,                 1.3187,                0.40871,                0.04835,                0.23006,                0.14444,                0.83559,                 4.4648,                 1.3143,              0.0099954,              0.0099954,              0.0099954
                     43,                0.87184,                  4.314,                 1.3152,                0.61065,                0.06192,                0.33701,                  0.234,                0.82637,                 3.9384,                 1.3087,              0.0099952,              0.0099952,              0.0099952
                     44,                0.86643,                 4.4281,                  1.317,                  0.483,                0.09206,                0.28849,                0.18231,                0.97695,                 4.6101,                 1.4642,              0.0099949,              0.0099949,              0.0099949
                     45,                0.85625,                 4.1909,                 1.3157,                0.62939,                0.04574,                0.33793,                0.22821,                0.90089,                 4.3818,                  1.387,              0.0099947,              0.0099947,              0.0099947
                     46,                0.85217,                 4.1759,                 1.3459,                0.42041,                0.15833,                0.29392,                0.18542,                0.82461,                 3.7997,                 1.2876,              0.0099944,              0.0099944,              0.0099944
                     47,                0.84856,                 4.1621,                 1.3221,                0.53157,                0.02407,                0.27806,                0.19359,                0.89356,                 4.6064,                 1.3745,              0.0099942,              0.0099942,              0.0099942
                     48,                0.87366,                 4.0759,                 1.2873,                0.52998,                0.03381,                 0.2823,                0.18803,                 1.0723,                  6.239,                 1.4916,              0.0099939,              0.0099939,              0.0099939
                     49,                0.89477,                 4.0163,                 1.2941,                0.50431,                0.10824,                0.30808,                0.18705,                 1.0179,                 4.4782,                 1.4638,              0.0099937,              0.0099937,              0.0099937
                     50,                 0.8627,                 3.9447,                 1.3255,                0.58886,                0.05077,                0.32062,                0.20865,                0.93584,                 4.4186,                  1.394,              0.0099934,              0.0099934,              0.0099934
                     51,                0.85367,                 3.8771,                 1.2702,                0.50571,                0.09307,                0.30047,                0.18976,                0.86399,                 3.9348,                 1.3294,              0.0099931,              0.0099931,              0.0099931
                     52,                0.86354,                 4.4967,                 1.3659,                0.44599,                0.06978,                0.25827,                0.15679,                0.94282,                 4.3139,                 1.4195,              0.0099929,              0.0099929,              0.0099929
                     53,                0.88719,                  4.169,                 1.3936,                0.51931,                 0.0806,                0.30098,                 0.1934,                0.87302,                 4.0079,                 1.3249,              0.0099926,              0.0099926,              0.0099926
                     54,                0.83184,                 7.2222,                 1.3387,                0.50186,                0.08334,                0.29405,                0.18757,                 0.8293,                 3.5925,                 1.2741,              0.0099923,              0.0099923,              0.0099923
                     55,                 0.8808,                 3.9718,                  1.355,                0.50389,                0.08518,                0.29679,                0.19476,                0.85499,                 3.8483,                 1.3078,               0.009992,               0.009992,               0.009992
                     56,                0.87118,                 4.0699,                 1.3203,                0.53382,                0.05807,                0.29709,                0.19697,                0.87033,                 4.1343,                 1.3476,              0.0099917,              0.0099917,              0.0099917
                     57,                0.88552,                 4.0426,                 1.3619,                0.51382,                0.04763,                0.28151,                0.18296,                0.98378,                 4.8628,                 1.4766,              0.0099914,              0.0099914,              0.0099914
                     58,                0.89217,                 3.9277,                 1.3729,                0.58433,                0.07224,                0.32966,                0.20702,                0.85597,                 3.8743,                 1.3246,              0.0099911,              0.0099911,              0.0099911
                     59,                 0.8567,                 11.167,                 1.3254,                0.59159,                0.08631,                 0.3392,                0.21998,                0.85031,                  3.928,                 1.3037,              0.0099908,              0.0099908,              0.0099908
                     60,                0.87859,                 4.0716,                 1.3358,                0.55681,                0.06413,                  0.311,                 0.2011,                0.85876,                 5.0398,                 1.2963,              0.0099905,              0.0099905,              0.0099905
                     61,                0.89223,                 4.1903,                 1.3374,                0.56791,                0.06863,                0.31888,                0.21538,                0.84068,                 3.8963,                 1.3119,              0.0099901,              0.0099901,              0.0099901
                     62,                0.90064,                 4.1845,                 1.3338,                0.57713,                0.07288,                0.32513,                0.20101,                0.93782,                 4.3314,                 1.3926,              0.0099898,              0.0099898,              0.0099898
                     63,                0.86339,                 3.8479,                 1.3399,                0.63044,                0.04779,                0.33977,                0.21935,                0.86338,                 4.3443,                 1.3452,              0.0099895,              0.0099895,              0.0099895
                     64,                0.85391,                 3.8457,                 1.3343,                0.51187,                0.02512,                0.26876,                0.17438,                 1.0548,                  5.395,                 1.5114,              0.0099891,              0.0099891,              0.0099891
                     65,                0.84666,                 3.9704,                 1.3919,                0.62613,                0.03789,                0.33243,                0.21291,                0.82599,                 3.7085,                 1.3093,              0.0099888,              0.0099888,              0.0099888
                     66,                0.86675,                 3.9566,                 1.3531,                0.61614,                0.08945,                0.35393,                0.23286,                0.81245,                  3.369,                 1.2737,              0.0099884,              0.0099884,              0.0099884
                     67,                0.84699,                 3.7003,                 1.2791,                0.65298,                 0.0555,                0.35566,                0.23452,                0.83924,                  4.193,                 1.3267,              0.0099881,              0.0099881,              0.0099881
                     68,                0.85401,                 3.8931,                  1.272,                0.65886,                0.06058,                0.35968,                0.22427,                0.92007,                 4.6455,                 1.4395,              0.0099877,              0.0099877,              0.0099877
                     69,                0.85529,                 3.6124,                 1.2389,                0.65414,                0.06552,                0.36042,                0.24217,                0.83465,                 3.9016,                 1.2811,              0.0099873,              0.0099873,              0.0099873
                     70,                0.83313,                  3.578,                 1.2605,                0.61546,                0.11699,                 0.3678,                0.23898,                0.83435,                 4.0565,                 1.3207,               0.009987,               0.009987,               0.009987
                     71,                0.83781,                 3.5569,                 1.2806,                0.56205,                 0.0618,                0.31237,                0.20683,                0.80467,                 3.6077,                 1.2568,              0.0099866,              0.0099866,              0.0099866
                     72,                0.82448,                 3.7342,                 1.2923,                0.63443,                 0.1142,                0.37704,                0.25014,                0.80975,                 3.5664,                 1.2699,              0.0099862,              0.0099862,              0.0099862
                     73,                0.81568,                 8.7505,                 1.2449,                0.66587,                 0.1124,                0.39181,                0.26052,                0.80877,                 3.6882,                 1.2768,              0.0099858,              0.0099858,              0.0099858
                     74,                 0.8324,                 3.4958,                 1.3189,                0.66992,                0.03398,                0.35208,                0.23583,                 1.0632,                 5.8812,                 1.6265,              0.0099854,              0.0099854,              0.0099854
                     75,                0.83773,                 3.5033,                 1.3284,                0.62658,                 0.1562,                0.39575,                0.25198,                0.83869,                 3.3987,                 1.2922,               0.009985,               0.009985,               0.009985
                     76,                0.84827,                 11.442,                 1.2467,                0.56095,                0.10238,                0.33182,                 0.2117,                0.85635,                 3.8123,                 1.3099,              0.0099846,              0.0099846,              0.0099846
                     77,                0.85755,                  3.688,                 1.2919,                0.67546,                0.10649,                0.39187,                 0.2533,                0.86133,                 3.5218,                 1.3134,              0.0099842,              0.0099842,              0.0099842
                     78,                0.82245,                 3.4406,                 1.2884,                0.71996,                0.07732,                0.39991,                0.25503,                 0.8968,                 4.3377,                  1.387,              0.0099838,              0.0099838,              0.0099838
                     79,                0.82906,                 3.3986,                 1.2968,                0.71589,                0.12339,                0.41955,                 0.2706,                0.84749,                 3.3609,                 1.3172,              0.0099833,              0.0099833,              0.0099833
                     80,                 0.8249,                 5.9181,                  1.274,                0.72756,                0.11749,                0.42386,                 0.2792,                0.80879,                 3.2848,                  1.265,              0.0099829,              0.0099829,              0.0099829
                     81,                0.84813,                 4.9429,                 1.2974,                0.71337,                0.06573,                 0.3902,                0.26102,                0.83514,                 4.1236,                 1.3042,              0.0099825,              0.0099825,              0.0099825
                     82,                0.89005,                 3.9381,                 1.3105,                0.70122,                0.13033,                0.41759,                0.27277,                0.83509,                 3.2584,                 1.2759,               0.009982,               0.009982,               0.009982
                     83,                0.84387,                 3.2766,                 1.2898,                0.60955,                0.16424,                0.38651,                0.23164,                0.85056,                 3.3263,                 1.3112,              0.0099816,              0.0099816,              0.0099816
                     84,                0.87321,                 3.3532,                 1.3182,                0.69774,                0.14105,                0.42156,                0.26831,                0.81974,                  3.363,                 1.2664,              0.0099811,              0.0099811,              0.0099811
                     85,                0.84323,                 3.3377,                 1.2824,                0.71867,                 0.1271,                0.42444,                0.27363,                0.81686,                 3.1746,                 1.2747,              0.0099807,              0.0099807,              0.0099807
                     86,                0.82842,                 3.1566,                 1.3005,                0.61503,                0.21748,                0.42443,                0.27019,                0.80671,                 3.1043,                 1.2569,              0.0099802,              0.0099802,              0.0099802
                     87,                0.83618,                 3.3584,                 1.2727,                0.69105,                 0.0904,                0.39161,                0.25482,                0.80391,                 3.3605,                 1.2597,              0.0099797,              0.0099797,              0.0099797
                     88,                0.85347,                 3.3968,                  1.238,                0.69406,                0.11523,                0.40748,                0.26407,                0.93053,                 7.0974,                 1.3766,              0.0099793,              0.0099793,              0.0099793
                     89,                0.78915,                 3.1021,                 1.3016,                0.71108,                0.09919,                0.40797,                0.26789,                0.80715,                 3.4587,                  1.273,              0.0099788,              0.0099788,              0.0099788
                     90,                0.82233,                 3.3595,                 1.2948,                0.69442,                0.05149,                0.37336,                0.24486,                0.98512,                 6.3947,                 1.5976,              0.0099783,              0.0099783,              0.0099783
                     91,                0.81343,                 8.4518,                 1.2783,                0.70413,                0.20811,                0.46005,                0.29674,                0.79821,                 3.0252,                 1.2582,              0.0099778,              0.0099778,              0.0099778
                     92,                0.82409,                 3.1692,                 1.2539,                0.64635,                 0.1358,                0.39402,                0.25005,                0.81306,                 3.3288,                 1.2662,              0.0099773,              0.0099773,              0.0099773
                     93,                0.79038,                 3.0362,                 1.2554,                0.71381,                0.19709,                0.45958,                0.29384,                0.79166,                 2.9029,                 1.2315,              0.0099768,              0.0099768,              0.0099768
                     94,                0.84085,                 3.2196,                 1.2504,                 0.6813,                0.16052,                0.42572,                0.25566,                0.86481,                 3.2626,                 1.3103,              0.0099763,              0.0099763,              0.0099763
