                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0355,                 5.8521,                 2.2232,                0.03168,                0.01415,                0.01917,                0.00885,                 2.3402,                 4.1967,                 1.5108,               0.070566,              0.0032704,              0.0032704
                      1,                 2.3767,                 4.4923,                  1.657,                0.30019,                 0.0468,                0.02263,                0.01143,                 2.1183,                    inf,                 1.4033,               0.040566,              0.0066037,              0.0066037
                      2,                 2.2933,                 4.0051,                 1.5276,                0.03169,                0.06259,                0.02006,                0.01017,                 2.0204,                    inf,                 1.3705,               0.010565,              0.0099365,              0.0099365
                      3,                 2.0928,                 4.3271,                  1.445,                0.18388,                0.13165,                0.04399,                0.02358,                 2.0444,                    inf,                 1.3785,              0.0099986,              0.0099986,              0.0099986
                      4,                 2.1292,                 4.5572,                 1.4791,                0.06809,                0.13554,                0.05844,                0.03304,                 1.9999,                    inf,                   1.34,              0.0099986,              0.0099986,              0.0099986
                      5,                 2.1155,                 4.4108,                 1.5145,                0.04426,                0.08009,                0.03083,                0.01632,                 2.0733,                 4.2081,                 1.3818,              0.0099975,              0.0099975,              0.0099975
                      6,                 2.3104,                 3.7085,                  1.558,                0.04806,                0.06539,                 0.0326,                0.01733,                 1.9705,                  3.276,                 1.2769,              0.0099961,              0.0099961,              0.0099961
                      7,                 2.2478,                 3.3226,                 1.5312,                0.08447,                0.06202,                0.05434,                0.02175,                 2.6324,                  3.206,                 1.6164,              0.0099944,              0.0099944,              0.0099944
                      8,                 2.1612,                 2.9787,                 1.4329,                0.13482,                0.02253,                0.07507,                0.04236,                 2.0665,                 2.6132,                 1.3238,              0.0099924,              0.0099924,              0.0099924
                      9,                 2.1159,                 3.0111,                 1.4811,                0.27189,                0.02602,                0.14527,                0.09578,                   1.89,                 2.5752,                 1.2469,              0.0099901,              0.0099901,              0.0099901
                     10,                 1.9588,                 2.9937,                 1.3909,                0.15861,                0.10297,                0.10862,                0.06363,                 1.8867,                 2.5595,                 1.2375,              0.0099875,              0.0099875,              0.0099875
                     11,                 1.9567,                  2.951,                 1.3491,                0.20454,                0.07935,                0.12624,                0.07448,                 2.0362,                 2.5406,                    1.3,              0.0099846,              0.0099846,              0.0099846
                     12,                 2.0079,                 2.8112,                 1.3473,                0.26164,                0.10312,                0.17163,                0.10083,                 1.8883,                 2.3274,                 1.2402,              0.0099814,              0.0099814,              0.0099814
                     13,                 1.9834,                 2.7346,                 1.3493,                0.37768,                0.03234,                0.20396,                0.12308,                 1.8782,                 2.3458,                 1.2615,              0.0099778,              0.0099778,              0.0099778
                     14,                 1.9771,                  2.653,                 1.3961,                0.32485,                0.06909,                0.19449,                0.10853,                 1.9669,                  2.269,                 1.2934,               0.009974,               0.009974,               0.009974
                     15,                 2.0006,                 2.5436,                 1.4211,                0.38951,                 0.0969,                0.23903,                0.13556,                 1.9667,                 2.1353,                  1.272,              0.0099698,              0.0099698,              0.0099698
                     16,                 2.0284,                 2.4135,                 1.3405,                0.39629,                0.12453,                0.25238,                0.14448,                 1.9605,                 2.1102,                 1.2859,              0.0099653,              0.0099653,              0.0099653
                     17,                 1.9388,                 2.3752,                  1.318,                 0.3718,                0.13762,                 0.2483,                0.14608,                 1.8531,                 2.0458,                 1.2235,              0.0099606,              0.0099606,              0.0099606
                     18,                 1.9789,                 2.3017,                 1.3443,                0.42891,                0.11438,                0.26926,                0.15133,                 1.9364,                 2.0326,                 1.2531,              0.0099555,              0.0099555,              0.0099555
                     19,                  1.891,                 2.2718,                 1.3177,                0.40538,                0.11987,                0.25689,                0.14505,                 1.8736,                 2.0656,                 1.2336,              0.0099501,              0.0099501,              0.0099501
                     20,                 1.9103,                  2.256,                  1.322,                0.44792,                0.13113,                0.28651,                0.16798,                 1.8923,                 1.9922,                 1.2625,              0.0099444,              0.0099444,              0.0099444
                     21,                 1.8865,                 2.1774,                 1.3476,                0.43262,                0.15778,                0.29238,                  0.168,                 1.8838,                 1.9008,                 1.2577,              0.0099384,              0.0099384,              0.0099384
                     22,                 1.9511,                 2.3234,                 1.3304,                0.48034,                0.12652,                0.30218,                0.17623,                 1.8641,                 1.9833,                  1.238,              0.0099321,              0.0099321,              0.0099321
                     23,                 1.8827,                 2.1318,                 1.3371,                0.49387,                0.12326,                0.30653,                0.17088,                 1.9322,                 1.9446,                 1.2861,              0.0099255,              0.0099255,              0.0099255
                     24,                 1.8403,                 2.0505,                 1.3141,                0.46497,                0.17381,                0.32154,                0.19674,                 1.7696,                 1.8081,                 1.2114,              0.0099186,              0.0099186,              0.0099186
                     25,                 1.8736,                 2.1538,                 1.2815,                0.48354,                0.13909,                0.31083,                0.18464,                 1.8116,                 1.9026,                 1.2261,              0.0099114,              0.0099114,              0.0099114
                     26,                 1.8758,                   2.09,                 1.3045,                 0.4833,                0.18138,                0.33895,                0.19264,                 1.8768,                 1.7943,                 1.2554,              0.0099039,              0.0099039,              0.0099039
                     27,                 1.8617,                 1.9659,                 1.3452,                0.48185,                0.19255,                0.34226,                0.19839,                 1.8294,                  1.757,                  1.239,              0.0098961,              0.0098961,              0.0098961
                     28,                  1.804,                 1.9413,                 1.3183,                0.50155,                0.18398,                0.34755,                0.20985,                 1.7883,                  1.776,                 1.2147,               0.009888,               0.009888,               0.009888
                     29,                 1.8304,                 1.9752,                 1.3033,                0.52197,                0.19629,                0.36539,                0.22047,                 1.7698,                  1.734,                 1.1993,              0.0098796,              0.0098796,              0.0098796
                     30,                 1.7904,                 1.9102,                 1.2614,                 0.4768,                0.25077,                0.36901,                0.21378,                 1.8145,                  1.686,                 1.2084,              0.0098709,              0.0098709,              0.0098709
                     31,                 1.7604,                 1.8739,                 1.2818,                0.45414,                 0.2588,                0.36354,                0.21291,                 1.7861,                 1.7452,                 1.2082,              0.0098619,              0.0098619,              0.0098619
                     32,                 1.8311,                 2.0636,                 1.2581,                0.52551,                 0.2394,                 0.3894,                 0.2307,                  1.738,                 1.6803,                 1.1819,              0.0098525,              0.0098525,              0.0098525
                     33,                 1.8143,                 1.8398,                  1.242,                0.57395,                0.20499,                0.39404,                0.22888,                 1.8631,                 1.7392,                  1.225,              0.0098429,              0.0098429,              0.0098429
                     34,                 1.8117,                 1.8218,                 1.2461,                0.59833,                0.19426,                 0.4034,                0.22927,                 1.8578,                  1.719,                 1.2291,               0.009833,               0.009833,               0.009833
                     35,                  1.791,                 1.7612,                 1.2437,                0.58471,                0.23169,                0.41448,                0.23788,                 1.8728,                 1.6682,                 1.2467,              0.0098228,              0.0098228,              0.0098228
                     36,                 1.7983,                 1.7787,                 1.2931,                0.58538,                 0.2564,                 0.4294,                0.26415,                 1.7096,                 1.5783,                 1.1909,              0.0098123,              0.0098123,              0.0098123
                     37,                 1.8191,                 1.7298,                 1.2871,                0.54638,                0.27261,                0.42226,                0.25142,                 1.7685,                 1.5628,                 1.2054,              0.0098015,              0.0098015,              0.0098015
                     38,                 1.7523,                  1.737,                  1.292,                0.52889,                0.30093,                0.42936,                0.26016,                 1.7231,                 1.5304,                 1.1959,              0.0097904,              0.0097904,              0.0097904
                     39,                 1.7557,                 1.7341,                 1.2382,                0.60789,                 0.2523,                0.43702,                0.25835,                 1.7922,                 1.6064,                  1.206,               0.009779,               0.009779,               0.009779
                     40,                 1.7189,                  1.752,                 1.2298,                 0.6253,                0.19045,                0.41351,                0.25817,                 1.7861,                 1.7429,                 1.2204,              0.0097673,              0.0097673,              0.0097673
                     41,                 1.6931,                 1.7347,                   1.22,                0.66257,                0.21117,                0.44155,                0.28092,                 1.7227,                 1.6622,                  1.188,              0.0097553,              0.0097553,              0.0097553
                     42,                 1.6363,                 1.6878,                 1.2004,                0.56151,                0.31607,                 0.4561,                0.28353,                 1.6792,                 1.4834,                 1.1716,               0.009743,               0.009743,               0.009743
                     43,                 1.6716,                  1.609,                 1.2499,                0.59468,                0.30781,                0.46841,                0.28583,                 1.7328,                 1.5003,                 1.2004,              0.0097304,              0.0097304,              0.0097304
                     44,                 1.7253,                 1.6521,                  1.236,                0.54821,                0.34041,                0.46298,                0.27465,                  1.725,                 1.4651,                 1.1877,              0.0097176,              0.0097176,              0.0097176
                     45,                 1.6943,                 1.5141,                 1.2433,                0.58152,                0.31425,                0.46292,                0.27654,                 1.7499,                 1.4746,                 1.1969,              0.0097044,              0.0097044,              0.0097044
                     46,                 1.7377,                 1.6056,                 1.1996,                0.57816,                0.31985,                0.46345,                0.26908,                 1.7888,                 1.4751,                 1.2036,               0.009691,               0.009691,               0.009691
