                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.8565,                 5.7414,                 2.1199,                 0.8111,                0.02791,                 0.0196,                0.00894,                 2.2555,                 4.4262,                 1.4839,               0.070566,              0.0032704,              0.0032704
                      1,                 2.2764,                 4.2937,                 1.5512,                0.68329,                0.04578,                0.03487,                0.01743,                 2.0655,                    inf,                 1.4132,               0.040566,              0.0066038,              0.0066038
                      2,                  2.178,                 3.8324,                 1.4486,                0.37013,                0.12767,                0.04465,                0.02346,                 2.0026,                    inf,                 1.3962,               0.010566,               0.009937,               0.009937
                      3,                 2.1377,                  3.946,                 1.4693,                 0.2711,                 0.1078,                0.03607,                 0.0193,                 1.9353,                 3.3677,                 1.3355,              0.0099998,              0.0099998,              0.0099998
                      4,                  2.306,                 4.1417,                  1.509,                0.32531,                0.04347,                0.01939,                0.00673,                 3.0638,                    inf,                 1.8163,              0.0099998,              0.0099998,              0.0099998
                      5,                 2.2485,                 3.6256,                 1.4795,                0.15855,                 0.1505,                0.04072,                0.02152,                 2.0084,                    inf,                 1.3072,              0.0099996,              0.0099996,              0.0099996
                      6,                 2.0739,                 3.0473,                 1.4174,                0.17784,                0.18018,                0.06174,                0.02296,                 2.4506,                 4.5957,                  1.576,              0.0099994,              0.0099994,              0.0099994
                      7,                 2.3986,                 3.4438,                 1.5809,                0.13839,                0.13979,                0.06373,                0.02841,                 2.1583,                 2.8397,                 1.4295,              0.0099991,              0.0099991,              0.0099991
                      8,                 2.0997,                 2.9313,                 1.4943,                0.27743,                0.16807,                0.08162,                0.04125,                 1.8965,                 2.5371,                 1.3108,              0.0099988,              0.0099988,              0.0099988
                      9,                   2.13,                 3.0352,                  1.431,                0.32925,                0.14078,                0.09352,                0.04848,                 1.8656,                 2.5263,                 1.3007,              0.0099984,              0.0099984,              0.0099984
                     10,                 1.9715,                 2.8236,                 1.4181,                0.24146,                0.20546,                0.10559,                0.05251,                 1.9368,                 2.4794,                 1.3361,               0.009998,               0.009998,               0.009998
                     11,                   2.02,                 2.6557,                 1.3731,                0.30506,                0.17388,                0.11332,                0.05804,                 1.9864,                 2.3102,                 1.3343,              0.0099975,              0.0099975,              0.0099975
                     12,                 2.0057,                 2.4954,                 1.4015,                0.22952,                0.17574,                0.12282,                0.05942,                 2.0475,                 2.3721,                 1.3745,               0.009997,               0.009997,               0.009997
                     13,                  2.052,                 2.5267,                 1.3547,                0.32353,                0.19609,                0.14676,                0.07431,                 1.9046,                 2.2395,                 1.3054,              0.0099964,              0.0099964,              0.0099964
                     14,                 1.9891,                 2.4541,                 1.3207,                0.30223,                0.23985,                0.16922,                0.08597,                 1.8646,                 2.0391,                 1.2729,              0.0099958,              0.0099958,              0.0099958
                     15,                 1.9909,                 2.3543,                 1.3722,                0.36089,                0.23219,                0.18671,                 0.0962,                  1.877,                 2.0135,                  1.285,              0.0099952,              0.0099952,              0.0099952
                     16,                 2.0492,                 2.2369,                 1.3397,                0.37441,                0.25128,                0.19588,                0.09436,                 1.9719,                 1.9793,                 1.3002,              0.0099944,              0.0099944,              0.0099944
                     17,                 1.9772,                 2.2669,                  1.347,                0.44907,                0.23303,                 0.2072,                0.10687,                 1.8347,                  1.969,                 1.2605,              0.0099937,              0.0099937,              0.0099937
                     18,                 1.9141,                 2.2718,                 1.2776,                0.39195,                0.23404,                0.21148,                0.11135,                 1.7956,                 1.9891,                 1.2313,              0.0099929,              0.0099929,              0.0099929
                     19,                 1.9748,                 2.3883,                 1.3777,                0.36709,                0.23979,                0.20709,                0.10904,                 1.8007,                 1.9546,                 1.2269,               0.009992,               0.009992,               0.009992
                     20,                 1.9687,                 2.2542,                 1.2716,                0.38655,                0.24865,                0.23106,                0.12471,                 1.7487,                 1.8754,                 1.2136,              0.0099911,              0.0099911,              0.0099911
                     21,                 1.8484,                 2.2749,                 1.2923,                0.45019,                0.26465,                0.24243,                0.12865,                  1.811,                 1.8286,                 1.2428,              0.0099901,              0.0099901,              0.0099901
                     22,                 1.8715,                 2.2536,                 1.2925,                0.50603,                0.25518,                0.25633,                0.13901,                 1.7717,                 1.9949,                 1.2261,              0.0099891,              0.0099891,              0.0099891
                     23,                 1.8214,                 2.1645,                 1.3127,                0.50841,                0.28279,                0.26531,                0.14029,                 1.7995,                 1.8635,                 1.2398,              0.0099881,              0.0099881,              0.0099881
                     24,                 1.9038,                 2.0175,                 1.3055,                 0.5332,                0.30332,                0.27051,                0.13809,                 1.8939,                 1.8344,                 1.2866,               0.009987,               0.009987,               0.009987
                     25,                 1.8624,                 1.9919,                 1.3221,                0.51927,                0.29946,                0.28495,                 0.1461,                 1.8284,                 1.7349,                 1.2482,              0.0099858,              0.0099858,              0.0099858
                     26,                 1.8573,                 1.9828,                 1.2561,                0.54443,                0.31053,                0.30315,                0.15333,                 1.8643,                 1.6819,                 1.2482,              0.0099846,              0.0099846,              0.0099846
                     27,                 1.8653,                 1.9057,                 1.2489,                0.56643,                0.29887,                0.30662,                0.16323,                  1.773,                 1.7047,                 1.2112,              0.0099833,              0.0099833,              0.0099833
                     28,                 1.8176,                 1.8885,                 1.2287,                0.49595,                0.28173,                0.28188,                0.15308,                 1.7857,                 1.7509,                 1.2285,               0.009982,               0.009982,               0.009982
                     29,                 1.8161,                 1.8824,                 1.2738,                0.58036,                0.30335,                0.30821,                0.16319,                 1.8361,                 1.6905,                  1.253,              0.0099807,              0.0099807,              0.0099807
                     30,                 1.8679,                  1.835,                 1.2749,                0.55508,                0.31604,                0.31465,                0.16136,                 1.8232,                 1.6842,                 1.2444,              0.0099793,              0.0099793,              0.0099793
                     31,                 1.9429,                 1.9343,                 1.2815,                0.58749,                0.31309,                0.32676,                0.17442,                 1.7755,                 1.6693,                 1.2269,              0.0099778,              0.0099778,              0.0099778
                     32,                 1.8066,                 1.8272,                 1.2495,                 0.6039,                 0.3219,                0.34021,                0.18206,                 1.7461,                 1.6487,                 1.2061,              0.0099763,              0.0099763,              0.0099763
                     33,                 1.7774,                 1.7679,                 1.2726,                0.61719,                0.32826,                0.35014,                0.18523,                 1.7978,                 1.5789,                 1.2207,              0.0099748,              0.0099748,              0.0099748
                     34,                 1.8034,                 1.7413,                 1.2421,                0.60453,                0.34358,                0.35331,                0.18143,                 1.8218,                 1.6104,                  1.226,              0.0099732,              0.0099732,              0.0099732
                     35,                 1.8568,                 1.7398,                 1.2328,                0.61143,                0.34363,                0.35748,                0.18139,                 1.8374,                  1.571,                 1.2326,              0.0099715,              0.0099715,              0.0099715
                     36,                 1.8209,                 1.6657,                 1.2393,                0.63619,                0.35249,                0.37457,                0.19695,                 1.7788,                 1.5404,                 1.2223,              0.0099698,              0.0099698,              0.0099698
                     37,                 1.7609,                 1.6059,                 1.2268,                0.61914,                 0.3627,                0.37583,                0.19391,                 1.8115,                 1.5448,                 1.2327,              0.0099681,              0.0099681,              0.0099681
                     38,                 1.8058,                 1.6887,                 1.2616,                0.62476,                 0.3537,                0.37624,                0.20258,                 1.7563,                 1.5549,                 1.2145,              0.0099663,              0.0099663,              0.0099663
                     39,                 1.7592,                  1.683,                 1.2306,                0.59426,                0.36522,                  0.388,                0.21277,                 1.6964,                 1.5565,                 1.1859,              0.0099644,              0.0099644,              0.0099644
                     40,                 1.6811,                 1.6754,                 1.1952,                0.52336,                0.35516,                0.37966,                0.20597,                 1.7093,                 1.6413,                 1.1843,              0.0099625,              0.0099625,              0.0099625
                     41,                  1.725,                 1.7056,                 1.2112,                0.57018,                0.37311,                0.40151,                0.20119,                 1.8727,                 1.5456,                 1.2466,              0.0099606,              0.0099606,              0.0099606
                     42,                 1.7824,                 1.6095,                 1.2454,                0.66092,                0.37355,                0.40954,                0.22687,                 1.6859,                 1.4483,                 1.1857,              0.0099586,              0.0099586,              0.0099586
                     43,                 1.7385,                  1.671,                 1.2389,                0.61243,                0.38354,                0.41387,                0.21938,                 1.7538,                 1.4499,                 1.2123,              0.0099565,              0.0099565,              0.0099565
                     44,                 1.7462,                 1.6167,                 1.2177,                0.67658,                0.38355,                0.41954,                0.22446,                 1.7267,                 1.4446,                 1.1916,              0.0099544,              0.0099544,              0.0099544
                     45,                 1.7095,                  1.625,                 1.2269,                0.57485,                0.38175,                0.42408,                0.23255,                 1.6992,                 1.5064,                 1.1918,              0.0099523,              0.0099523,              0.0099523
