modele,size,iou,conf,precision,recall,mAP,mAP50-95,score,soumission
model_2023_04_17_giga,2048,0.1,0.5,0.858,0.667,0.779,0.469
model_2023_04_17_giga,2048,0.2,0.1,0.857,0.666,0.783,0.461
model_2023_04_17_giga,2048,0.2,0.35,0.857,0.666,0.78,0.466,35.351419,17
model_2023_04_17_giga,2048,0.2,0.5,0.858,0.667,0.779,0.469
model_2023_04_17_giga,3072,0.2,,0.836,0.664,0.778,0.473
model_2023_04_17_giga,3072,0.2,0.5,0.836,0.664,0.779,0.476
model_2023_04_17_hypra,1536,,,0.797,0.65,0.753,0.459
model_2023_04_17_hypra,1536,0.1,0.1,0.855,0.713,0.809,0.479,35.451381,20
model_2023_04_17_hypra,2048,,,0.758,0.674,0.752,0.46
model_2023_04_17_hypra,2048,0.1,0.1,0.858,0.71,0.806,0.477
