                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2559,                0.75888,                 1.0854,                0.69882,                0.49177,                0.62051,                0.38889,                 1.6754,                 1.2623,                 1.4445,                0.07033,              0.0032967,              0.0032967
                      1,                 1.1199,                0.65871,                 1.0879,                0.69553,                 0.4858,                0.61535,                0.39204,                 1.6648,                 1.2489,                 1.4542,                0.04033,                0.00663,                0.00663
                      2,                 1.2589,                0.71671,                 1.0814,                0.71258,                0.44639,                 0.6018,                0.37919,                 1.7417,                 1.3421,                 1.5161,                0.01033,              0.0099633,              0.0099633
                      3,                 1.2621,                0.71039,                 1.0732,                0.67391,                 0.4715,                0.59951,                0.37781,                 1.6879,                 1.3591,                  1.481,              0.0099999,              0.0099999,              0.0099999
                      4,                 1.3606,                0.85215,                 1.0998,                0.68914,                0.48906,                0.61107,                0.38427,                 1.6844,                 1.2785,                 1.4871,              0.0099999,              0.0099999,              0.0099999
                      5,                 1.2819,                0.79167,                 1.0796,                 0.6657,                0.48175,                0.60389,                0.37143,                 1.7217,                 1.3079,                 1.4784,              0.0099999,              0.0099999,              0.0099999
                      6,                 1.2246,                0.72131,                 1.0669,                0.62375,                0.46158,                0.56475,                0.34047,                  1.759,                  1.359,                 1.5148,              0.0099998,              0.0099998,              0.0099998
                      7,                 1.2967,                0.73276,                 1.0949,                0.62373,                0.48134,                0.58202,                0.35666,                 1.7749,                 1.3379,                 1.5519,              0.0099998,              0.0099998,              0.0099998
                      8,                 1.2687,                0.79576,                 1.1135,                0.67293,                0.26618,                0.48547,                0.29678,                 2.1976,                 2.4425,                 1.7266,              0.0099997,              0.0099997,              0.0099997
                      9,                 1.2299,                0.72013,                 1.0878,                0.67837,                0.47678,                0.60506,                0.36888,                 1.7794,                 1.3607,                  1.539,              0.0099996,              0.0099996,              0.0099996
                     10,                  1.209,                0.68279,                 1.0799,                0.70578,                0.47925,                0.61219,                0.37622,                 1.7238,                 1.3114,                 1.4998,              0.0099995,              0.0099995,              0.0099995
                     11,                 1.2795,                0.73379,                 1.0922,                0.68502,                0.46657,                0.60238,                0.38427,                 1.6659,                 1.3214,                 1.4678,              0.0099994,              0.0099994,              0.0099994
                     12,                 1.2465,                0.71551,                 1.1118,                0.70217,                0.48301,                0.61969,                0.36743,                 1.8066,                 1.3016,                 1.5746,              0.0099993,              0.0099993,              0.0099993
                     13,                 1.2219,                0.71167,                 1.0915,                0.67234,                  0.486,                 0.6059,                0.36013,                 1.8212,                 1.2987,                 1.5797,              0.0099991,              0.0099991,              0.0099991
                     14,                 1.2503,                0.72183,                 1.1192,                0.71552,                0.47656,                0.61748,                0.39584,                 1.6437,                  1.263,                 1.4429,               0.009999,               0.009999,               0.009999
                     15,                 1.3096,                0.75705,                  1.071,                0.68004,                0.49238,                0.61535,                0.38864,                 1.6884,                  1.261,                 1.4819,              0.0099988,              0.0099988,              0.0099988
                     16,                 1.3231,                0.75225,                 1.0715,                0.67054,                0.47238,                0.59847,                0.35231,                  1.812,                 1.3081,                 1.5311,              0.0099986,              0.0099986,              0.0099986
                     17,                 1.2609,                0.70213,                 1.0656,                0.70546,                 0.4689,                0.61073,                0.39497,                 1.6461,                 1.2666,                 1.4359,              0.0099984,              0.0099984,              0.0099984
                     18,                 1.2602,                0.74132,                 1.0644,                0.62712,                0.46861,                 0.5782,                0.36139,                  1.715,                 1.3124,                 1.4993,              0.0099982,              0.0099982,              0.0099982
                     19,                 1.2509,                 0.7161,                 1.0915,                0.64676,                0.47285,                0.58834,                0.36008,                 1.7726,                 1.3237,                 1.5132,               0.009998,               0.009998,               0.009998
                     20,                 1.2505,                0.76261,                 1.0713,                 0.6919,                0.34563,                0.54016,                0.32788,                 1.9562,                 2.1585,                 1.6519,              0.0099978,              0.0099978,              0.0099978
                     21,                 1.3244,                0.78446,                 1.0814,                0.70931,                0.45421,                0.60606,                0.38378,                 1.6857,                 1.3066,                 1.4821,              0.0099975,              0.0099975,              0.0099975
                     22,                 1.2237,                0.70324,                 1.0996,                0.68731,                0.47977,                0.61113,                0.38074,                 1.7219,                 1.2973,                 1.4938,              0.0099973,              0.0099973,              0.0099973
                     23,                  1.258,                0.70948,                 1.1014,                0.68444,                 0.4844,                0.61258,                0.36871,                 1.7484,                 1.2912,                 1.4967,               0.009997,               0.009997,               0.009997
                     24,                 1.2769,                0.73731,                 1.0848,                0.68084,                0.46105,                0.59636,                0.36983,                 1.7494,                 1.3616,                 1.5067,              0.0099967,              0.0099967,              0.0099967
                     25,                 1.2353,                0.73862,                 1.0796,                0.58037,                0.49344,                0.57025,                0.34317,                 1.7914,                 1.3156,                 1.5489,              0.0099964,              0.0099964,              0.0099964
                     26,                 1.2168,                 0.7143,                 1.0978,                0.66724,                0.47479,                0.60105,                0.38263,                 1.6721,                 1.2913,                 1.4705,              0.0099961,              0.0099961,              0.0099961
                     27,                 1.2762,                0.74166,                 1.0875,                0.67026,                0.46926,                0.59944,                0.36841,                 1.7376,                 1.3085,                 1.5073,              0.0099958,              0.0099958,              0.0099958
                     28,                 1.2609,                0.70806,                 1.0803,                0.67827,                0.47889,                0.60697,                0.38184,                 1.6972,                 1.2708,                 1.4921,              0.0099955,              0.0099955,              0.0099955
                     29,                 1.2054,                0.69729,                 1.1091,                0.68674,                0.48158,                0.61231,                0.38779,                 1.6924,                 1.2342,                 1.4737,              0.0099952,              0.0099952,              0.0099952
                     30,                 1.2374,                0.68549,                 1.0649,                0.68512,                0.48181,                0.61492,                0.38124,                 1.7395,                 1.2623,                 1.5061,              0.0099948,              0.0099948,              0.0099948
